location_id,station_name,city,country_code,country_name,latitude,longitude
12,SPARTAN - IIT Kanpur,,IN,Indie,26.519,80.233
13,"Delhi Technological University, Delhi - CPCB",,IN,Indie,28.744,77.12
15,IGI Airport,,IN,Indie,28.56,77.094
16,Civil Lines,,IN,Indie,28.6787,77.2262
17,"R K Puram, Delhi - DPCC",,IN,Indie,28.563262,77.186937
50,"Punjabi Bagh, Delhi - DPCC",,IN,Indie,28.674045,77.131023
103,"Income Tax Office, Delhi - CPCB",,IN,Indie,28.623499999999996,77.2494
235,"Anand Vihar, New Delhi - DPCC",,IN,Indie,28.646835,77.316032
236,"Mandir Marg, Delhi - DPCC",,IN,Indie,28.6341,77.2005
286,Collectorate - Gaya - BSPCB,,IN,Indie,24.7489694,84.9438395
301,"Vikas Sadan, Gurugram - HSPCB",,IN,Indie,28.4501238,77.0263051
346,"MD University, Rohtak - HSPCB",,IN,Indie,28.876028,76.619464
354,"Lalbagh, DN Park",,IN,Indie,26.84578611,80.93874444
378,Alandur Bus Depot,,IN,Indie,12.99711389,80.19151667
407,"Zoo Park, Hyderabad - TSPCB",,IN,Indie,17.349694,78.451437
412,"Peenya, Bengaluru - KSPCB",,IN,Indie,13.0339,77.51321111
431,"IHBAS, Delhi - CPCB",,IN,Indie,28.6821,77.305
594,"BTM Layout, Bengaluru - KSPCB",,IN,Indie,12.912811110000002,77.60921944
697,"Haldia, Haldia - WBPCB",,IN,Indie,22.06047,88.109737
703,Collectorate Jodhpur - RSPCB,,IN,Indie,26.2920639,73.0379111111111
716,"Rabindra Bharati University, Kolkata - WBSPCB",,IN,Indie,22.627875,88.3804
797,City Railway Station - KSPCB,,IN,Indie,12.9773472,77.5706972222222
854,Chandrapur,,IN,Indie,19.95,79.3
860,"Sanjay Palace, Agra - UPPCB",,IN,Indie,27.19865833,78.00598056
910,Victoria Memorial - WBSPCB,,IN,Indie,22.572646,88.36389499999996
985,Collectorate - Muzaffarpur - BSPCB,,IN,Indie,26.0762,85.4115
2345,VK Industrial Area Jaipur - RSPCB,,IN,Indie,26.9738778,75.7738777777777
2456,"Talkatora District Industries Center, Lucknow - CPCB",,IN,Indie,26.83399722,80.8917361
2459,US Diplomatic Post: Hyderabad,,IN,Indie,17.443464,78.47489
2460,US Diplomatic Post: Kolkata,,IN,Indie,22.547142,88.351048
2461,US Diplomatic Post: Chennai,,IN,Indie,13.052371,80.251932
2463,Central School,,IN,Indie,26.85272778,80.99632778
2503,"Shadipur, Delhi - CPCB",,IN,Indie,28.651699999999998,77.1581
2549,IIT,,IN,Indie,12.992513890000001,80.23744722
2583,"Sector-6, Panchkula - HSPCB ",,IN,Indie,30.7057778,76.8531805555555
2585,AAQMS Karve Road Pune,,IN,Indie,18.497484,73.81349
2586,"Manali, Chennai - CPCB",,IN,Indie,13.164544,80.26285
2587,"Sector16A, Faridabad - HSPCB",,IN,Indie,28.410122219999998,77.313775
2589,SaneguravaHalli - KSPCB,,IN,Indie,12.9916694,77.5458305555555
2591,Ardhali Bazar,,IN,Indie,25.35055556,82.97833333
2592,"BWSSB Kadabesanahalli, Bengaluru - KSPCB",,IN,Indie,12.93890556,77.69727222
2593,IGSC Planetarium Complex - Patna - BSPCB,,IN,Indie,25.3636,85.0755
2594,"Sanathnagar, Hyderabad - TSPCB",,IN,Indie,17.42329722,78.47469722
2595,Nehru Nagar,,IN,Indie,26.470308800000005,80.3251749
2596,"Solapur, Solapur - MPCB",,IN,Indie,17.6599188,75.9063906
2597,US Diplomatic Post: New Delhi,,IN,Indie,28.598096,77.189066
2598,Navi Mumbai Municipal Corporation Airoli,,IN,Indie,19.1494,72.9986
5404,"Pusa, Delhi - IMD",,IN,Indie,28.639645,77.146263
5408,"Secretariat, Amaravati - APPCB",,IN,Indie,16.5150833,80.5181667
5443,"Mahakaleshwar Temple, Ujjain - MPPCB",,IN,Indie,23.182719,75.768218
2669,München/Stachus,München,DE,Niemcy,48.13725200011463,11.564923999614544
2916,Hagen Graf-von-Galen-Ring,Hagen,DE,Niemcy,51.36281799989879,7.463549999908939
2917,Nürnberg/Muggenhof,,DE,Niemcy,49.462229,11.025473
2933,Fulda-Mitte,,DE,Niemcy,50.549296999999996,9.682162
2935,Spremberg,Spremberg,DE,Niemcy,51.564499999956375,14.376399999636918
2936,Stuttgart-Bad Cannstatt,Stuttgart,DE,Niemcy,48.808799999840296,9.229745000433322
2938,DEBB099,,DE,Niemcy,52.481882,13.84825
2939,"Cottbus, W.-Külz-Str.",,DE,Niemcy,51.754129999999996,14.325549
2940,DEMV003,,DE,Niemcy,53.559784,13.26644
2941,Frankfurt (Oder),Frankfurt (Oder),DE,Niemcy,52.33468,14.525960000148581
